Storage modulus,Loss modulus,Step time
8.66E-04,-3.89E-05,0.1
5.96E-04,9.03E-05,0.15
3.42E-04,2.51E-04,0.2
8.37E-04,1.06E-04,0.25
7.40E-04,1.26E-04,0.3
8.21E-04,5.92E-05,0.35
8.12E-04,5.13E-05,0.4
8.10E-04,3.96E-05,0.45
8.28E-04,2.79E-05,0.5
8.13E-04,3.46E-05,0.55
8.31E-04,2.50E-05,0.6
8.17E-04,2.79E-05,0.65
8.24E-04,3.17E-05,0.7
8.24E-04,2.63E-05,0.75
8.18E-04,2.61E-05,0.8
8.19E-04,2.58E-05,0.85
8.21E-04,2.25E-05,0.9
8.20E-04,2.37E-05,0.95
8.22E-04,2.20E-05,1
8.23E-04,2.23E-05,1.05
8.22E-04,2.01E-05,1.1
8.21E-04,2.30E-05,1.15
8.22E-04,2.20E-05,1.2
8.23E-04,2.18E-05,1.25
8.25E-04,2.04E-05,1.3
8.26E-04,2.03E-05,1.35
8.25E-04,1.87E-05,1.4
8.26E-04,2.24E-05,1.45
8.27E-04,2.16E-05,1.5
8.22E-04,2.58E-05,1.55
8.26E-04,2.50E-05,1.599
8.25E-04,2.24E-05,1.649
8.20E-04,2.46E-05,1.699
8.24E-04,2.25E-05,1.749
8.23E-04,2.04E-05,1.799
8.24E-04,2.08E-05,1.849
8.27E-04,1.96E-05,1.899
8.27E-04,2.03E-05,1.949
8.26E-04,2.08E-05,1.999
8.25E-04,2.38E-05,2.049
8.28E-04,2.23E-05,2.099
8.24E-04,2.15E-05,2.149
8.21E-04,2.49E-05,2.199
8.22E-04,2.35E-05,2.249
8.24E-04,2.35E-05,2.299
8.21E-04,2.05E-05,2.349
8.20E-04,2.31E-05,2.399
8.23E-04,2.16E-05,2.449
8.22E-04,2.39E-05,2.499
8.26E-04,2.13E-05,2.549
8.22E-04,1.70E-05,2.599
8.22E-04,1.94E-05,2.649
8.27E-04,1.74E-05,2.699
8.20E-04,2.05E-05,2.749
8.23E-04,2.57E-05,2.799
8.25E-04,2.15E-05,2.849
8.17E-04,2.46E-05,2.899
8.20E-04,2.66E-05,2.949
8.24E-04,2.50E-05,2.999
8.24E-04,2.37E-05,3.049
8.23E-04,2.23E-05,3.099
8.20E-04,2.42E-05,3.149
8.24E-04,2.38E-05,3.199
8.21E-04,2.25E-05,3.249
8.19E-04,2.47E-05,3.299
8.23E-04,1.99E-05,3.349
8.22E-04,2.07E-05,3.399
8.24E-04,2.12E-05,3.449
8.22E-04,1.96E-05,3.499
8.23E-04,2.15E-05,3.549
8.25E-04,2.03E-05,3.599
8.22E-04,2.19E-05,3.649
8.24E-04,2.23E-05,3.699
8.25E-04,2.37E-05,3.749
8.23E-04,2.39E-05,3.799
8.20E-04,2.28E-05,3.849
8.19E-04,2.41E-05,3.899
8.23E-04,2.22E-05,3.949
8.23E-04,2.10E-05,3.999
8.22E-04,2.04E-05,4.049
8.21E-04,2.14E-05,4.099
8.21E-04,2.42E-05,4.149
8.25E-04,2.25E-05,4.199
8.22E-04,2.25E-05,4.249
8.23E-04,2.44E-05,4.299
8.23E-04,2.13E-05,4.349
8.19E-04,2.47E-05,4.399
8.22E-04,2.28E-05,4.449
8.20E-04,2.09E-05,4.499
8.22E-04,2.45E-05,4.549
8.23E-04,2.28E-05,4.599
8.22E-04,2.23E-05,4.649
8.22E-04,1.92E-05,4.698
8.24E-04,1.97E-05,4.748
8.24E-04,1.86E-05,4.798
8.22E-04,2.15E-05,4.848
8.24E-04,2.15E-05,4.898
8.23E-04,2.23E-05,4.948
8.24E-04,2.32E-05,4.998
8.25E-04,2.34E-05,5.048
8.23E-04,2.34E-05,5.098
8.22E-04,2.29E-05,5.148
8.24E-04,2.32E-05,5.198
8.21E-04,2.18E-05,5.248
8.22E-04,2.55E-05,5.298
8.19E-04,2.09E-05,5.348
8.16E-04,2.51E-05,5.398
8.22E-04,2.18E-05,5.448
8.18E-04,2.19E-05,5.498
8.22E-04,2.34E-05,5.548
8.22E-04,1.85E-05,5.598
8.22E-04,2.17E-05,5.648
8.26E-04,1.79E-05,5.698
8.23E-04,2.25E-05,5.748
8.22E-04,2.47E-05,5.798
8.24E-04,2.53E-05,5.848
8.24E-04,2.40E-05,5.898
8.22E-04,2.38E-05,5.948
